Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
FORD Fusion Energi Plug-in Hybrid	2	4	CVT	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LFMXV02.0VZQ	midsize car	7	43/109	40/97	42/103	10	Elite
FORD Fusion Energi Plug-in Hybrid	2	4	CVT	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LFMXV02.0VZQ	midsize car	7	43/109	40/97	42/103	10	Elite
FORD Fusion Hybrid	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFMXV02.0VZT	midsize car	7	43	41	42	9	Yes
FORD Fusion Hybrid	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LFMXV02.0VZT	midsize car	7	43	41	42	9	Yes
FORD Fusion Hybrid Taxi	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFMXV02.0VZT	midsize car	7	43	40	41	9	Yes
FORD Fusion Hybrid Taxi	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LFMXV02.0VZT	midsize car	7	43	40	41	9	Yes
FORD Fusion Special Service PHEV	2	4	CVT	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LFMXV02.0VZQ	midsize car	7	43/106	40/97	42/102	10	Elite
FORD Fusion Special Service PHEV	2	4	CVT	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LFMXV02.0VZQ	midsize car	7	43/106	40/97	42/102	10	Elite
HONDA Accord	1.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.53EB	large car	7	30	38	33	7	Yes
HONDA Accord	1.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.53EB	large car	7	30	38	33	7	Yes
HONDA Accord	1.5	4	Man-6	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LHNXV01.54DB	large car	6	26	35	30	7	Yes
HONDA Accord	1.5	4	Man-6	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LHNXV01.54DB	large car	6	26	35	30	7	Yes
HONDA Accord	1.5	4	SCV-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.53EB	large car	7	29	35	31	7	Yes
HONDA Accord	1.5	4	SCV-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.53EB	large car	7	29	35	31	7	Yes
