Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
TOYOTA Corolla	1.8	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LTYXV01.8M5B	small car	5	30	38	33	7	Yes
TOYOTA Corolla	1.8	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LTYXV01.8M5B	small car	5	30	38	33	7	Yes
TOYOTA Corolla	1.8	4	Man-6	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LTYXV01.8M5B	small car	5	29	39	33	7	Yes
TOYOTA Corolla	1.8	4	Man-6	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LTYXV01.8M5B	small car	5	29	39	33	7	Yes
TOYOTA Corolla	2	4	Man-6	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4B	small car	6	29	36	32	7	Yes
TOYOTA Corolla	2	4	Man-6	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4B	small car	6	29	36	32	7	Yes
TOYOTA Corolla	2	4	SCV-10	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4B	small car	6	31	40	34	8	Yes
TOYOTA Corolla	2	4	SCV-10	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4B	small car	6	31	40	34	8	Yes
TOYOTA Corolla Hatchback	2	4	Man-6	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4B	small car	6	28	37	31	7	Yes
TOYOTA Corolla Hatchback	2	4	Man-6	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4B	small car	6	28	37	31	7	Yes
TOYOTA Corolla Hatchback	2	4	SCV-10	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4B	small car	6	32	41	35	8	Yes
TOYOTA Corolla Hatchback	2	4	SCV-10	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4B	small car	6	32	41	35	8	Yes
TOYOTA Corolla Hatchback XSE	2	4	SCV-10	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4B	small car	6	30	38	33	7	Yes
TOYOTA Corolla Hatchback XSE	2	4	SCV-10	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4B	small car	6	30	38	33	7	Yes
TOYOTA Corolla Hybrid	1.8	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXV01.8P33	small car	7	53	52	52	10	Elite
TOYOTA Corolla Hybrid	1.8	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXV01.8P33	small car	7	53	52	52	10	Elite
TOYOTA Corolla XLE	1.8	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LTYXV01.8M5B	small car	5	29	37	32	7	Yes
TOYOTA Corolla XLE	1.8	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LTYXV01.8M5B	small car	5	29	37	32	7	Yes
TOYOTA Corolla XSE	2	4	SCV-10	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4B	small car	6	31	38	34	8	Yes
TOYOTA Corolla XSE	2	4	SCV-10	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4B	small car	6	31	38	34	8	Yes
TOYOTA Highlander Hybrid	2.5	4	SCV-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXT02.5P34	small SUV	7	36	35	36	8	Yes
TOYOTA Highlander Hybrid	2.5	4	SCV-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXT02.5P34	small SUV	7	36	35	36	8	Yes
